Congressperson,State,Party Affiliation,House or Senate,District,Race,Gender,Birthdate,Background,Twitter Handle
Claudia Tenney,NY,R,House,22,White,F,6/18/49,Political,RepTenney
Tom Reed,NY,R,House,23,White,M,7/2/84,Political,TomReedCongress
John Katko,NY,R,House,24,White,M,11/9/62,Legal,RepJohnKatko
Joseph Morelle,NY,D,House,25,White,M,4/29/57,Political,RepJoeMorelle
Brian Higgins,NY,D,House,26,White,M,10/6/59,Political,RepBrianHiggins
Chris Jacobs,NY,R,House,27,White,M,11/28/66,Political,RepJacobs
G. K. Butterfield,NC,D,House,1,White,M,4/27/47,Legal,GKButterfield
Deborah Ross,NC,D,House,2,White,F,6/20/63,Political,RepDeborahRoss
Greg Murphy,NC,R,House,3,White,M,3/5/63,Political,RepGregMurphy
David Price,NC,D,House,4,White,M,8/17/40,"Political, Academic",RepDavidEPrice
Virginia Foxx,NC,R,House,5,White,F,6/29/43,Political,VirginiaFoxx
Kathy Manning,NC,D,House,6,White,F,12/3/56,Legal,RepKManning
David Rouzer,NC,R,House,7,White,M,2/16/72,Political,RepDavidRouzer
Richard Hudson,NC,R,House,8,White,M,11/4/71,Business,RepRichHudson
Dan Bishop,NC,R,House,9,White,M,7/1/64,Political,RepDanBishop
Patrick McHenry,NC,R,House,10,White,M,10/22/75,Political,PatrickMcHenry
Madison Cawthorn,NC,R,House,11,White,M,8/1/95,Political,CawthornforNC
Alma Adams,NC,D,House,12,Black,F,5/27/46,Political,RepAdams
Ted Budd,NC,R,House,13,White,M,10/21/71,Business,RepTedBudd
Kelly Armstrong,ND,R,House,At-Large,White,M,10/8/76,Political,RepArmstrongND
Steve Chabot,OH,R,House,1,White,M,1/22/53,Political,RepSteveChabot
Brad Wenstrup,OH,R,House,2,White,M,6/17/58,Medical,RepBradWenstrup
Joyce Beatty,OH,D,House,3,Black,F,3/12/50,Political,RepBeatty
Jim Jordan,OH,R,House,4,White,M,2/17/64,Political,Jim_Jordan
Bob Latta,OH,R,House,5,White,M,4/18/56,Political,BobLatta
Bill Johnson,OH,R,House,6,White,M,11/10/54,Military,RepBillJohnson
Bob Gibbs,OH,R,House,7,White,M,6/14/54,Political,RepBobGibbs
Warren Davidson,OH,R,House,8,White,M,3/1/70,Business,WarrenDavidson
Marcy Kaptur,OH,D,House,9,White,F,6/17/46,Political,RepMarcyKaptur
Mike Turner,OH,R,House,10,White,M,1/11/60,Political,RepMikeTurner
Troy Balderson,OH,R,House,12,White,M,1/16/62,Political,RepBalderson
Tim Ryan,OH,D,House,13,White,M,7/16/73,Political,RepTimRyan
David Joyce,OH,R,House,14,White,M,3/17/57,Legal,RepDaveJoyce
Anthony Gonzalez,OH,R,House,16,Hispanic,M,9/18/84,Business,RepAGonzalez
Kevin Hern,OK,R,House,1,White,M,12/4/61,Business,repkevinhern
Markwayne Mullin,OK,R,House,2,Indigenous,M,7/26/77,Business,RepMullin
Frank Lucas,OK,R,House,3,White,M,1/6/60,Political,RepFrankLucas
Tom Cole,OK,R,House,4,Indigenous,M,4/28/49,"Political, Academic",TomColeOK04
Stephanie Bice,OK,R,House,5,White,F,11/11/73,Political,RepBice
Suzanne Bonamici,OR,D,House,1,White,F,10/14/54,Political,RepBonamici
Cliff Bentz,OR,R,House,2,White,M,1/12/52,Political,RepBentz
Earl Blumenauer,OR,D,House,3,White,M,8/16/48,Political,BlumenauerMedia
Peter Defazio,OR,D,House,4,White,M,5/27/47,Political,RepPeterDeFazio
Kurt Schrader,OR,D,House,5,White,M,10/19/51,"Medical, Political",RepSchrader
Brian Fitzpatrick,PA,R,House,1,White,M,12/17/73,"Legal, Law Enforcement",repbrianfitz
Brendan Boyle,PA,D,House,2,White,M,2/6/77,Political,CongBoyle
Dwight Evans,PA,D,House,3,Black,M,5/16/54,Political,RepDwightEvans
Madeleine Deane,PA,D,House,4,White,F,6/6/59,Political,RepDean
Mary Gay Scanlon,PA,D,House,5,White,F,8/30/59,Legal,RepMGS
Chrissy Houlahan,PA,D,House,6,White,F,6/5/67,"Business, Military",RepHoulahan
Susan Wild,PA,D,House,7,White,F,6/7/57,Political,RepSusanWid
Matt Cartwright,PA,D,House,8,White,M,5/1/61,Legal,RepCartwright
Dan Meuser,PA,R,House,9,White,M,2/10/64,Political,RepMeuser
Scott Perry,PA,R,House,10,White,M,5/27/62,"Political, Business, Military",RepScottPerry
Lloyd Smucker,PA,R,House,11,White,M,1/23/64,Political,RepSmucker
Fred Keller,PA,R,House,12,White,M,10/23/65,Political,RepFredKeller
John Joyce,PA,R,House,13,White,M,2/8/57,Medical,RepJohnJoyce
Guy Reschenthaler,PA,R,House,14,White,M,4/17/83,"Political, Legal, Military",GReschenthaler
Glenn Thompson,PA,R,House,15,White,M,7/27/59,Political,CongressmanGT
Mike Kelly,PA,R,House,15,White,M,5/10/48,Political,MikeKellyPA
Conor Lamb,PA,D,House,16,White,M,6/27/84,"Legal, Military",RepConorLamb
Mike Doyle,PA,D,House,17,White,M,8/5/53,Political,USRepMikeDoyle
David Cicilline,RI,D,House,1,White,M,7/15/61,Political,RepCicilline
James Langevin,RI,D,House,2,White,M,4/22/64,Political,JimLangevin
Nancy Mace,SC,R,House,1,White,M,12/4/77,Political,RepNancyMace
Joe Wilson,SC,R,House,2,White,M,7/31/47,Political,RepJoeWilson
Jeff Duncan,SC,R,House,3,White,M,1/7/66,Political,RepJeffDuncan
William Timmons,SC,R,House,4,White,M,4/30/84,"Legal, Business",RepTimmons
Ralph Norman,SC,R,House,5,White,M,6/20/53,"Political, Business",RepRalphNorman
Jim Clyburn,SC,D,House,6,Black,M,7/21/40,"Political, Education",WhipClyburn
Tom Rice,SC,R,House,7,White,M,8/4/57,"Legal, Business, Political",RepTomRice
Dusty Johnson,SD,R,House,At-Large,White,M,9/30/76,Political,RepDustyJohnson
Diana Harshbarger,TN,R,House,1,White,F,1/1/60,Medical,RepHarshbarger
Tim Burchett,TN,R,House,2,White,M,8/25/64,Political,RepTimBurchett
Chuck Flieschmann,TN,R,House,3,White,M,10/11/62,Legal,RepChuck
Scott Desjarlais,TN,R,House,4,White,M,2/21/64,Medical,RepHarshbarger
Jim Cooper,TN,D,House,5,White,M,6/19/54,"Political, Academic",RepJimCooper
John Rose,TN,R,House,6,White,M,2/23/65,Political,RepJohnRose
Mark E. Green,TN,R,House,7,White,M,11/8/64,Political,RepMarkGreen
David Kustoff,TN,R,House,8,White,M,10/8/66,Legal,repdavidkustoff
Steve Cohen,TN,D,House,9,White,M,5/24/49,"Political, Legal",RepCohen
Louie Gohmert,TX,R,House,1,White,M,8/18/53,Legal,RepLouieGohmert
Dan Crenshaw,TX,R,House,2,White,M,3/14/84,Military,RepDanCrenshaw
Van Taylor,TX,R,House,3,White,M,8/1/72,Political,RepVanTaylor
Pat Fallon,TX,R,House,4,White,M,12/19/67,"Political, Military",RepPatFallon
Lance Gooden,TX,R,House,5,White,M,12/1/82,Political,LanceGooden
Lizzie Pannill Fletcher,TX,D,House,7,White,F,2/13/75,Legal,RepFletcher
Kevin Brady,TX,R,House,8,White,M,4/11/55,Political,RepKevinBrady
Al Green,TX,D,House,9,Black,M,9/1/47,"Political, Legal",RepAlGreen
Michael McCaul,TX,R,House,10,White,M,1/14/62,Legal,RepMcCaul
August Pfluger,TX,R,House,11,White,M,12/28/78,"Political, Military",RepPfluger
Kay Granger,TX,R,House,12,White,F,1/18/43,Political,RepKayGranger
Ronny Jackson,TX,R,House,13,White,M,5/4/67,"Medical, Military, Political",RepRonnyJackson
Randy Weber,TX,R,House,14,White,M,7/2/53,Political,TXRandy14
Vicente Gonzalez,TX,D,House,15,Hispanic,M,9/4/67,"Business, Political",RepGonzalez
Veronica Escobar,TX,D,House,16,Hispanic,F,9/15/69,"Legal, Political",RepEscobar
Pete Sessions,TX,R,House,17,White,M,3/22/55,Political,PeteSessions
Sheila Jackson Lee,TX,D,House,18,Black,F,1/12/50,"Political, Legal",JacksonLeeTX18
Jodey Arrington,TX,R,House,19,White,M,3/9/72,"Education, Political",RepArrington
Joaquin Castro,TX,D,House,20,Hispanic,M,9/16/74,Political,JoaquinCastrotx
Chip Roy,TX,R,House,21,White,M,8/7/72,Legal,RepChipRoy
Troy Nehls,TX,R,House,22,White,M,4/7/68,Law Enforcement,RepTroyNehls
Tony Gonzales,TX,R,House,23,Hispanic,M,10/10/80,Military,RepTonyGonzales
Beth Van Duyne,TX,R,House,24,White,F,11/16/70,Political,RepBethVanDuyne
Roger Williams,TX,R,House,25,White,M,9/13/49,Political,RepRWilliams
Michael C. Burgess,TX,R,House,26,White,M,12/23/50,Medical,MichaelCBurgess
Michael Cloud,TX,R,House,27,White,M,5/13/75,Political,RepCloudTX
Henry Cuellar,TX,D,House,28,Hispanic,M,9/19/55,Political,RepCuellar
Sylvia Garcia,TX,D,House,29,Hispanic,F,9/6/50,Political,RepSylviaGarcia
Eddie Bernice Johnson,TX,D,House,30,Black,F,12/3/35,"Political, Medical, Military",RepEBJ
John Carter,TX,R,House,31,White,M,11/6/41,Legal,JudgeCarter
Colin Allred,TX,D,House,32,Black,M,4/15/83,Legal,RepColinAllred
Marc Veasey,TX,D,House,33,Black,M,1/3/71,Political,RepVeasey
Filemon Vela Jr.,TX,D,House,34,Hispanic,M,2/13/63,Legal,RepFilemonVela
Lloyd Doggett,TX,D,House,35,White,M,10/6/46,"Legal, Political, Academic",RepLloydDoggett
Brian Babin,TX,R,House,36,White,M,3/23/48,Political,RepBrianBabin
Blake Moore,UT,R,House,1,White,M,6/22/80,Political,RepBlakeMoore
Chris Stewart,UT,R,House,2,White,M,7/15/60,Business,RepChrisStewart
John Curtis,UT,R,House,3,White,M,5/10/60,Political,RepJohnCurtis
Burgess Owens,UT,R,House,4,Black,M,8/2/51,Business,RepBurgessOwens
Peter Welch,VT,D,House,At-Large,White,M,5/2/47,Political,PeterWelch
Rob Wittman,VA,R,House,1,White,M,2/3/59,Political,RobWittman
Elaine Luria,VA,D,House,2,White,F,8/15/75,Military,RepElaineLuria
Bobby Scott,VA,D,House,3,Asian,M,4/30/47,Political,BobbyScott
Donald McEachin,VA,D,House,4,Black,M,10/10/61,Political,RepDonBeyer
Bob Good,VA,R,House,5,White,M,9/11/65,"Academic, Political",RepBobGood
Ben Cline,VA,R,House,6,White,M,2/29/72,Political,RepBenCline
Abigail Spanberger,VA,D,House,7,White,F,8/7/79,Intelligence,RepSpanberger
Don Beyer,VA,D,House,8,White,M,6/20/50,Political,RepDonBeyer
Morgan Griffith,VA,R,House,9,White,M,3/15/58,Political,RepMGriffith
Jennifer Wexton,VA,D,House,10,White,F,5/27/68,Political,RepWexton
Gerry Connolly,VA,D,House,11,White,M,3/30/50,Political,GerryConnolly
Suzan DelBene,WA,D,House,1,White,F,2/17/62,Political,RepDelBene
Rick Larsen,WA,D,House,2,White,M,6/15/65,Political,RepRickLarsen
Jaime Herrera Beutler,WA,R,House,3,Hispanic,F,11/3/78,Political,HerreraBeutler
Dan Newhouse,WA,R,House,4,White,M,7/10/55,Political,RepNewhouse
Cathy McMorris Rodgers,WA,R,House,5,White,F,5/22/69,Political,CathyMcMorris
Derek Kilmer,WA,D,House,6,White,M,1/1/74,Political,RepDerekKilmer
Pramila Jayapal,WA,D,House,7,Asian,F,9/21/65,Political,RepJayapal
Kim Schrier,WA,D,House,8,White,F,8/23/68,Medical,RepKimSchrier
Adam Smith,WA,D,House,9,White,M,6/15/65,Political,RepAdamSmith
Marilyn Strickland,WA,D,House,10,Black,F,9/25/62,Political,RepStricklandWA
David McKinley,WV,R,House,1,White,M,3/28/47,"Business, Political",RepMcKinley
Alex Mooney,WV,R,House,2,Hispanic,M,6/7/71,Political,RepAlexMooney
Carol Miller,WV,R,House,3,White,F,11/4/50,Political,RepCarolMiller
Bryan Steil,WI,R,House,1,White,M,3/3/81,"Political, Legal",RepBryanSteil
Mark Pocan,WI,D,House,2,White,M,8/14/64,Political,RepMarkPocan
Ron Kind,WI,D,House,3,White,M,3/16/63,Legal,RepRonKind
Gwen Moore,WI,D,House,4,Black,F,4/18/51,Political,RepGwenMoore
Scott Fitzgerald,WI,R,House,5,White,M,11/16/63,Political,RepFitzgerald
Glenn Grothman,WI,R,House,6,White,M,7/3/55,Political,RepGrothman
Tom Tiffany,WI,R,House,7,White,M,12/30/57,Political,TomTiffanyWI
Mike Gallagher,WI,R,House,8,White,M,3/3/84,"Political, Military",RepGallagher
Liz Cheney,WY,R,House,At-Large,White,F,7/28/66,Political,RepLizCheney
Richard Shelby,AL,R,Senate,Senate,White,M,5/6/34,"Legal,  Political",SenShelby
Tommy Tuberville,AL,R,Senate,Senate,White,M,9/18/54,Business,SenTuberville
Lisa Murkowski,AK,R,Senate,Senate,White,F,5/22/57,"Legal, Political",lisamurkowski
Dan Sullivan,AK,R,Senate,Senate,White,M,11/13/64,"Military, Legal, Political",SenDanSullivan
Kyrsten Sinema,AZ,D,Senate,Senate,White,F,7/12/76,"Legal,  Academic, Political",SenatorSinema
Mark Kelly,AZ,D,Senate,Senate,White,M,2/21/64,Military,SenMarkKelly
John Boozman,AR,R,Senate,Senate,White,M,12/10/50,Medical,JohnBoozman
Tom Cotton,AR,R,Senate,Senate,White,M,5/13/77,"Legal,  Military, Political",SenTomCotton
Dianne Feinstein,CA,D,Senate,Senate,White,F,6/22/33,Political,SenFeinstein
Alex Padilla,CA,D,Senate,Senate,Hispanic,M,3/22/73,"Engineering, Political",SenAlexPadilla
Michael Bennet,CO,D,Senate,Senate,White,M,11/28/64,"Legal, Education",SenatorBennet
John Hickenlooper,CO,D,Senate,Senate,White,M,2/7/52,"Academic, Business",SenatorHick
Richard Blumenthal,CT,D,Senate,Senate,White,M,2/13/46,"Military, Legal, Political",SenBlumenthal
Chris Murphy,CT,D,Senate,Senate,White,M,8/3/73,"Legal, Political",ChrisMurphyCT
Tom Carper,DE,D,Senate,Senate,White,M,1/23/47,"Military, Political",SenatorCarper
Chris Coons,DE,D,Senate,Senate,White,M,9/9/63,"Legal,  Political",ChrisCoons
Marco Rubio,FL,R,Senate,Senate,Hispanic,M,5/28/71,"Legal, Political",marcorubio
Rick Scott,FL,R,Senate,Senate,White,M,12/1/52,"Military, Legal, Business, Political",SenRickScott
Jon Ossoff,GA,D,Senate,Senate,White,M,2/16/87,"Media, Political",Ossoff
Raphael Warnock,GA,D,Senate,Senate,Black,M,7/23/69,Religious,SenatorWarnock
Brian Schatz,HI,D,Senate,Senate,White,M,10/20/72,"Education, Political",SenBrianSchatz
Mazie Hirono,HI,D,Senate,Senate,Asian,F,11/3/47,"Legal, Political",maziehirono
Mike Crapo,ID,R,Senate,Senate,White,M,5/20/51,Legal Political,MikeCrapo
Jim Risch,ID,R,Senate,Senate,White,M,5/3/43,"Academic,  Agricultural,  Legal, Political",SenatorRisch
Dick Durbin,IL,D,Senate,Senate,White,M,11/21/44,"Legal, Academic, Political",SenatorDurbin
Tammy Duckworth,IL,D,Senate,Senate,Asian,F,3/2/68,"Military, Medical, Academic, Political",SenDuckworth
Todd Young,IN,R,Senate,Senate,White,M,8/24/72,"Military,  Business, Legal,  Academic, Political",SenToddYoung
Mike Braun,IN,R,Senate,Senate,White,M,3/24/54,"Business, Political",SenatorBraun
Chuck Grassley,IA,R,Senate,Senate,White,M,9/17/33,"Academic, Agricultural, Political",ChuckGrassley
Joni Ernst,IA,R,Senate,Senate,White,F,7/1/70,"Agricultural, Military, Political",SenJoniErnst
Jerry Moran,KS,R,Senate,Senate,White,M,5/29/54,"Political, Business, Legal",JerryMoran
Roger Marshall,KS,R,Senate,Senate,White,M,8/9/60,"Medical,  Military,  Political",SenatorMarshall
Mitch McConnell,KY,R,Senate,Senate,White,M,2/20/42,"Legal, Political",LeaderMcConnell
Rand Paul,KY,R,Senate,Senate,White,M,1/7/63,Medical,RandPaul
Bill Cassidy,LA,R,Senate,Senate,White,M,9/28/57,"Medical, Political",SenBillCassidy
John Kennedy,LA,R,Senate,Senate,White,M,11/21/51,"Legal, Academic, Media, Political",SenJohnKennedy
Susan Collins,ME,R,Senate,Senate,White,M,12/7/52,Political,SenatorCollins
Angus King,ME,I,Senate,Senate,White,M,3/31/44,"Legal,  Business, Media, Political",SenAngusKing
Ben Cardin,MD,D,Senate,Senate,White,M,10/5/43,"Legal,  Political",SenatorCardin
Chris Van Hollen,MD,D,Senate,Senate,White,M,1/10/59,"Political, Legal",ChrisVanHollen
Elizabeth Warren,MA,D,Senate,Senate,White,F,6/22/49,"Legal, Academic, Political",SenWarren
Ed Markey,MA,D,Senate,Senate,White,M,7/11/46,"Military, Legal, Political",SenMarkey
Debbie Stabenow,MI,D,Senate,Senate,White,F,4/29/50,Political,SenStabenow
Gary Peters,MI,D,Senate,Senate,White,M,12/1/58,"Military, Legal, Academic, Political",SenGaryPeters
Amy Klobuchar,MN,D,Senate,Senate,White,F,5/25/60,Legal,SenAmyKlobuchar
Tina Smith,MN,D,Senate,Senate,White,F,3/4/58,Political,SenTinaSmith
Roger Wicker,MS,R,Senate,Senate,White,M,7/5/51,"Military, Legal, Political",SenatorWicker
Cindy Hyde-Smith,MS,R,Senate,Senate,White,F,5/10/59,"Agricultural, Political",SenHydeSmith
Roy Blunt,MO,R,Senate,Senate,White,M,1/10/50,"Academic, Political",RoyBlunt
Josh Hawley,MO,R,Senate,Senate,White,M,12/31/79,"Legal, Academic, Political",HawleyMO
Jon Tester,MT,D,Senate,Senate,White,M,8/21/56,"Education, Agricultural, Political",SenatorTester
Steve Daines,MT,R,Senate,Senate,White,M,8/20/62,"Business, Political",SteveDaines
Deb Fischer,NE,R,Senate,Senate,White,F,3/1/51,"Agricultural, Political",SenatorFischer
Ben Sasse,NE,R,Senate,Senate,White,M,2/22/72,"Business, Academic",SenSasse
Catherine Cortez Masto,NV,D,Senate,Senate,Hispanic,F,3/29/64,"Legal, Political",SenCortezMasto
Jacky Rosen,NV,D,Senate,Senate,White,F,8/2/57,"Business, Political",SenJackyRosen
Jeanne Shaheen,NH,D,Senate,Senate,White,F,1/28/47,"Education, Business, Political",SenatorShaheen
Maggie Hassan,NH,D,Senate,Senate,White,F,2/27/58,"Legal, Political",SenatorHassan
Bob Menendez,NJ,D,Senate,Senate,Hispanic,M,1/1/54,"Legal, Political",SenatorMenendez
Cory Booker,NJ,D,Senate,Senate,Black,M,4/27/69,"Legal, Political",CoryBooker
Martin Heinrich,NM,D,Senate,Senate,White,M,10/17/71,"Business, Political",MartinHeinrich
Ben Ray Luján,NM,D,Senate,Senate,Hispanic,M,6/7/72,Political,SenatorLujan
Chuck Schumer,NY,D,Senate,Senate,White,M,11/23/50,"Legal, Political",SenSchumer
Kirsten Gillibrand,NY,D,Senate,Senate,White,F,12/9/66,"Legal, Political",SenGillibrand
Richard Burr,NC,R,Senate,Senate,White,M,11/30/55,"Business, Political",SenatorBurr
Thom Tillis,NC,R,Senate,Senate,White,M,8/30/60,"Business, Political",SenThomTillis
John Hoeven,ND,R,Senate,Senate,White,M,3/13/57,"Business, Political ",SenJohnHoeven
Kevin Cramer,ND,R,Senate,Senate,White,M,1/21/61,Political,SenKevinCramer
Sherrod Brown,OH,D,Senate,Senate,White,M,11/9/52,"Education, Political",SenSherrodBrown
Rob Portman,OH,R,Senate,Senate,White,M,12/19/55,"Legal, Political",senrobportman
Jim Inhofe,OK,R,Senate,Senate,White,M,11/17/34,"Military,  Businness, Political",JimInhofe
James Lankford,OK,R,Senate,Senate,White,M,3/4/68,"Education, Political",SenatorLankford
Ron Wyden,OR,D,Senate,Senate,White,M,5/3/49,"Education, Political",RonWyden
Jeff Merkley,OR,D,Senate,Senate,White,M,10/24/56,"Intelligence, Political",SenJeffMerkley
Bob Casey Jr.,PA,D,Senate,Senate,White,M,4/13/60,"Education, Legal, Political",SenBobCasey
Pat Toomey,PA,R,Senate,Senate,White,M,11/17/61,"Business, Political",SenToomey
Jack Reed,RI,D,Senate,Senate,White,M,11/12/49,"Military, Legal, Political",senjackreed
Sheldon Whitehouse,RI,D,Senate,Senate,White,M,10/20/55,"Legal, Political",SenWhitehouse
Lindsey Graham,SC,R,Senate,Senate,White,M,7/9/55,"Legal, Military, Political",LindseyGrahamSC
Tim Scott,SC,R,Senate,Senate,Black,M,9/19/65,"Business, Political",SenatorTimScott
John Thune,SD,R,Senate,Senate,White,M,1/7/61,Political,SenJohnThune
Mike Rounds,SD,R,Senate,Senate,White,M,10/24/54,"Business, Political",SenatorRounds
Marsha Blackburn,TN,R,Senate,Senate,White,F,6/6/52,"Business,  Political",MarshaBlackburn
Bill Hagerty,TN,R,Senate,Senate,White,M,8/14/59,"Business, Political",SenatorHagerty
John Cornyn,TX,R,Senate,Senate,White,M,2/2/52,"Legal, Political",JohnCornyn
Ted Cruz,TX,R,Senate,Senate,Hispanic,M,12/22/70,Legal,SenTedCruz
Mike Lee,UT,R,Senate,Senate,White,M,6/4/71,Legal,SenMikeLee
Mitt Romney,UT,R,Senate,Senate,White,M,3/12/47,"Business, Political",SenatorRomney
Patrick Leahy,VT,D,Senate,Senate,White,M,3/31/00,"Legal, Political",SenatorLeahy
Bernie Sanders,VT,I,Senate,Senate,White,M,9/8/41,"Media, Political",SenSanders
Mark Warner,VA,D,Senate,Senate,White,M,12/15/54,"Business, Political",MarkWarner
Tim Kaine,VA,D,Senate,Senate,White,M,2/26/58,"Political, Legal, Education, Religious",timkaine
Patty Murray,WA,D,Senate,Senate,White,F,10/11/50,"Education, Political",PattyMurray
Maria Cantwell,WA,D,Senate,Senate,White,F,10/13/58,"Business, Political",SenatorCantwell
Joe Manchin,WV,D,Senate,Senate,White,M,8/24/47,"Business, Political",Sen_JoeManchin
Shelley Moore. Capito,WV,R,Senate,Senate,White,F,11/26/53,"Academic, Education, Political",SenCapito
Ron Johnson,WI,R,Senate,Senate,White,M,4/9/55,Business,SenRonJohnson
Tammy Baldwin,WI,R,Senate,Senate,White,F,2/11/62,"Legal, Political",SenatorBaldwin
John Barrasso,WY,R,Senate,Senate,White,M,7/21/52,"Medical, Political",SenJohnBarrasso
Cynthia Lummis,WY,R,Senate,Senate,White,F,9/10/54,"Legal, Political",SenLummis